"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2018","0.011793","0.012868","0.014220","0.010100","136.71M","-8.15"
"Jan 10, 2018","0.012839","0.013104","0.013600","0.010701","117.13M","-1.99"
"Jan 09, 2018","0.013100","0.014773","0.015441","0.012394","143.72M","-15.05"
"Jan 08, 2018","0.015420","0.017000","0.018000","0.015420","50.28M","-9.29"
"Jan 07, 2018","0.017000","0.014630","0.019000","0.014000","174.97M","16.20"
"Jan 06, 2018","0.014630","0.012550","0.017500","0.012010","175.01M","16.57"
"Jan 05, 2018","0.012550","0.009613","0.013950","0.009434","192.07M","30.55"
"Jan 04, 2018","0.009613","0.009205","0.010300","0.008559","181.28M","4.43"
"Jan 03, 2018","0.009205","0.009000","0.009345","0.008340","206.95M","2.28"
"Jan 02, 2018","0.009000","0.008678","0.009878","0.008316","206.04M","3.71"
"Jan 01, 2018","0.008678","0.008927","0.008990","0.007960","164.35M","-2.79"
"Dec 31, 2017","0.008927","0.007672","0.009100","0.007500","170.69M","16.36"
"Dec 30, 2017","0.007672","0.009228","0.009400","0.006990","159.65M","-16.86"
"Dec 29, 2017","0.009228","0.008244","0.009450","0.007577","182.25M","11.94"
"Dec 28, 2017","0.008244","0.008861","0.008869","0.007221","155.23M","-6.96"
"Dec 27, 2017","0.008861","0.009332","0.009600","0.008090","144.38M","-5.05"
"Dec 26, 2017","0.009332","0.008648","0.009686","0.008000","173.97M","7.91"
"Dec 25, 2017","0.008648","0.008356","0.011020","0.008124","203.97M","3.49"
"Dec 24, 2017","0.008356","0.006949","0.008581","0.005500","243.10M","20.25"
"Dec 23, 2017","0.006949","0.006071","0.007870","0.005682","214.35M","14.46"
"Dec 22, 2017","0.006071","0.007497","0.007621","0.004270","272.07M","-19.02"
"Dec 21, 2017","0.007497","0.006392","0.008767","0.006107","234.12M","17.29"
"Dec 20, 2017","0.006392","0.005409","0.007000","0.004529","293.10M","18.17"
"Dec 19, 2017","0.005409","0.006270","0.006700","0.005222","259.42M","-13.73"
"Dec 18, 2017","0.006270","0.005841","0.007000","0.005582","229.36M","7.34"
"Dec 17, 2017","0.005841","0.005634","0.007804","0.005306","259.49M","3.67"
"Dec 16, 2017","0.005634","0.003659","0.006800","0.003610","362.35M","53.98"
"Dec 15, 2017","0.003659","0.003591","0.003750","0.003417","358.84M","1.89"
