"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2019","0.003241","0.003349","0.003349","0.003101","226.88M","-3.22%"
"Jul 10, 2019","0.003349","0.003457","0.003528","0.003280","188.48M","-3.13%"
"Jul 09, 2019","0.003458","0.003464","0.003580","0.003400","224.39M","-0.20%"
"Jul 08, 2019","0.003465","0.003540","0.003574","0.003444","212.27M","-2.14%"
"Jul 07, 2019","0.003540","0.003508","0.003645","0.003413","248.37M","0.92%"
"Jul 06, 2019","0.003508","0.003870","0.003960","0.003371","120.39M","-9.35%"
"Jul 05, 2019","0.003870","0.003206","0.004429","0.003143","231.27M","20.69%"
"Jul 04, 2019","0.003206","0.003260","0.003410","0.003140","324.54M","-1.64%"
"Jul 03, 2019","0.003260","0.003149","0.003270","0.003105","221.77M","3.55%"
"Jul 02, 2019","0.003148","0.003261","0.003286","0.003027","226.70M","-3.49%"
"Jul 01, 2019","0.003262","0.003246","0.003340","0.003017","229.82M","0.57%"
"Jun 30, 2019","0.003243","0.003403","0.003437","0.003223","214.71M","-4.70%"
"Jun 29, 2019","0.003403","0.003422","0.003457","0.003260","115.71M","-0.53%"
"Jun 28, 2019","0.003421","0.003372","0.003574","0.003349","201.81M","1.23%"
"Jun 27, 2019","0.003380","0.003400","0.003688","0.002979","304.54M","-0.60%"
"Jun 26, 2019","0.003400","0.003319","0.003462","0.003200","277.94M","2.28%"
"Jun 25, 2019","0.003324","0.003346","0.003390","0.003248","241.83M","-0.64%"
"Jun 24, 2019","0.003346","0.003286","0.003392","0.003202","317.49M","1.83%"
"Jun 23, 2019","0.003286","0.003299","0.003388","0.003250","366.06M","-0.40%"
"Jun 22, 2019","0.003299","0.003249","0.003379","0.003209","301.12M","1.54%"
"Jun 21, 2019","0.003249","0.003096","0.003249","0.003070","193.33M","4.94%"
"Jun 20, 2019","0.003096","0.003111","0.003131","0.003031","297.44M","-0.53%"
"Jun 19, 2019","0.003112","0.003057","0.003121","0.003026","293.67M","1.91%"
"Jun 18, 2019","0.003054","0.003156","0.003164","0.003040","344.35M","-3.24%"
"Jun 17, 2019","0.003156","0.003134","0.003202","0.003107","161.45M","0.72%"
"Jun 16, 2019","0.003134","0.003125","0.003276","0.003106","322.95M","0.27%"
"Jun 15, 2019","0.003125","0.003090","0.003176","0.003051","334.51M","1.17%"
"Jun 14, 2019","0.003089","0.003041","0.003097","0.002980","285.81M","1.50%"
"Jun 13, 2019","0.003043","0.003042","0.003060","0.002989","211.41M","0.06%"
