"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2018","2.09436","1.94415","2.26700","1.54000","40.02M","9.08"
"Jan 10, 2018","1.92000","2.05000","2.11800","1.61320","30.46M","-5.91"
"Jan 09, 2018","2.04055","2.40000","2.48100","1.90000","18.91M","-14.98"
"Jan 08, 2018","2.40000","2.77067","2.77067","1.91111","20.76M","-13.36"
"Jan 07, 2018","2.77000","2.65000","2.81000","2.56000","9.10M","4.53"
"Jan 06, 2018","2.65000","2.50000","2.85000","2.45000","11.26M","6.00"
"Jan 05, 2018","2.50000","2.73000","3.05000","2.20000","34.75M","-8.42"
"Jan 04, 2018","2.73000","2.72000","3.28000","2.45000","44.43M","0.37"
"Jan 03, 2018","2.72000","2.19000","2.86000","2.15000","32.14M","24.20"
"Jan 02, 2018","2.19000","2.03000","2.20000","1.90000","24.00M","7.88"
"Jan 01, 2018","2.03000","1.97000","2.10000","1.80000","13.77M","3.05"
"Dec 31, 2017","1.97000","1.83000","2.09000","1.50000","34.43M","7.65"
"Dec 30, 2017","1.83000","1.92000","2.40000","1.74000","78.98M","-4.69"
"Dec 29, 2017","1.92000","1.24000","1.97000","1.24000","65.04M","54.84"
"Dec 28, 2017","1.24000","1.21000","1.29000","1.07000","33.08M","2.48"
"Dec 27, 2017","1.21000","1.07000","1.29000","1.06000","44.83M","13.08"
"Dec 26, 2017","1.07000","0.97200","1.10000","0.96210","16.36M","10.08"
"Dec 25, 2017","0.97200","0.97180","1.02000","0.91250","12.03M","0.02"
"Dec 24, 2017","0.97180","0.98560","0.99380","0.80240","31.76M","-1.40"
"Dec 23, 2017","0.98560","0.98800","1.07000","0.92000","30.79M","-0.24"
"Dec 22, 2017","0.98800","1.09000","1.23000","0.69000","114.41M","-9.36"
"Dec 21, 2017","1.09000","0.71490","1.11000","0.71400","91.16M","52.47"
"Dec 20, 2017","0.71490","0.73160","0.74600","0.63500","35.03M","-2.28"
"Dec 19, 2017","0.73160","0.75680","0.84100","0.68580","44.64M","-3.33"
"Dec 18, 2017","0.75680","0.71200","0.79130","0.66000","45.64M","6.29"
"Dec 17, 2017","0.71200","0.74000","0.75300","0.70100","28.42M","-3.78"
"Dec 16, 2017","0.74000","0.73740","0.81300","0.72000","41.17M","0.35"
"Dec 15, 2017","0.73740","0.81700","0.82500","0.61540","87.98M","-9.74"
"Dec 14, 2017","0.81700","0.45100","0.84700","0.44600","143.37M","81.15"
"Dec 13, 2017","0.45100","0.34740","0.49270","0.32000","132.92M","29.82"
"Dec 12, 2017","0.34740","0.24500","0.42050","0.24000","116.61M","41.80"
"Dec 11, 2017","0.24500","0.22780","0.25040","0.22780","20.69M","7.55"
"Dec 10, 2017","0.22780","0.23650","0.23760","0.22120","20.27M","-3.68"
"Dec 09, 2017","0.23650","0.23290","0.24500","0.22750","29.98M","1.55"
"Dec 08, 2017","0.23290","0.20240","0.24900","0.20000","92.75M","15.07"
"Dec 07, 2017","0.20240","0.21690","0.22000","0.20000","55.11M","-6.69"
"Dec 06, 2017","0.21690","0.23360","0.23420","0.20590","42.00M","-7.15"
"Dec 05, 2017","0.23360","0.24620","0.24720","0.23200","18.44M","-5.12"
"Dec 04, 2017","0.24620","0.24480","0.25000","0.23450","16.79M","0.57"
"Dec 03, 2017","0.24480","0.24480","0.25980","0.23440","25.35M","0.00"
"Dec 02, 2017","0.24480","0.24400","0.24950","0.23980","15.89M","0.33"
"Dec 01, 2017","0.24400","0.23720","0.24880","0.22500","22.46M","2.87"
"Nov 30, 2017","0.23720","0.23500","0.24770","0.21840","29.91M","0.94"
"Nov 29, 2017","0.23500","0.27950","0.28000","0.21000","69.75M","-15.92"
"Nov 28, 2017","0.27950","0.24780","0.28160","0.24780","44.71M","12.79"
"Nov 27, 2017","0.24780","0.24490","0.25320","0.24000","22.19M","1.18"
"Nov 26, 2017","0.24490","0.25330","0.25330","0.24100","16.31M","-3.32"
"Nov 25, 2017","0.25330","0.24500","0.25620","0.24200","13.18M","3.39"
"Nov 24, 2017","0.24500","0.24090","0.24760","0.23480","14.30M","1.70"
"Nov 23, 2017","0.24090","0.24000","0.25450","0.23510","23.53M","0.38"
"Nov 22, 2017","0.24000","0.23290","0.24240","0.23000","17.00M","3.05"
"Nov 21, 2017","0.23290","0.24000","0.24560","0.22870","19.92M","-2.96"
"Nov 20, 2017","0.24000","0.23250","0.24700","0.23170","15.37M","3.23"
"Nov 19, 2017","0.23250","0.22700","0.23750","0.22000","18.76M","2.42"
"Nov 18, 2017","0.22700","0.22450","0.22950","0.21860","11.18M","1.11"
"Nov 17, 2017","0.22450","0.22730","0.24080","0.21700","25.33M","-1.23"
"Nov 16, 2017","0.22730","0.20870","0.28320","0.20550","97.46M","8.91"
"Nov 15, 2017","0.20870","0.20410","0.21000","0.20300","10.81M","2.25"
"Nov 14, 2017","0.20410","0.20000","0.21000","0.19650","10.33M","2.05"
"Nov 13, 2017","0.20000","0.19320","0.20000","0.19000","19.33M","3.52"
"Nov 12, 2017","0.19320","0.20920","0.20920","0.17500","48.68M","-7.65"
"Nov 11, 2017","0.20920","0.20300","0.21470","0.20000","16.52M","3.05"
"Nov 10, 2017","0.20300","0.21240","0.21850","0.19800","19.88M","-4.43"
"Nov 09, 2017","0.21240","0.21610","0.22300","0.21210","14.21M","-1.71"
"Nov 08, 2017","0.21610","0.20570","0.22500","0.20300","17.10M","5.06"
"Nov 07, 2017","0.20570","0.20110","0.20610","0.19920","8.28M","2.29"
"Nov 06, 2017","0.20110","0.19950","0.20690","0.19810","5.94M","0.80"
"Nov 05, 2017","0.19950","0.20180","0.20400","0.19750","5.07M","-1.14"
"Nov 04, 2017","0.20180","0.20500","0.20560","0.19910","6.33M","-1.56"
"Nov 03, 2017","0.20500","0.20000","0.22950","0.19560","24.89M","2.50"
"Nov 02, 2017","0.20000","0.19110","0.20700","0.17500","17.22M","4.66"
"Nov 01, 2017","0.19110","0.19800","0.20100","0.18940","9.15M","-3.48"
"Oct 31, 2017","0.19800","0.20200","0.20400","0.19710","5.44M","-1.98"
"Oct 30, 2017","0.20200","0.20120","0.20420","0.20000","3.99M","0.40"
"Oct 29, 2017","0.20120","0.19790","0.20450","0.19600","5.47M","1.67"
"Oct 28, 2017","0.19790","0.19950","0.20100","0.19710","4.03M","-0.80"
"Oct 27, 2017","0.19950","0.20200","0.20320","0.19750","3.44M","-1.24"
"Oct 26, 2017","0.20200","0.20140","0.20510","0.19950","6.18M","0.30"
"Oct 25, 2017","0.20140","0.20320","0.20560","0.19600","6.62M","-0.89"
"Oct 24, 2017","0.20320","0.19170","0.21680","0.18300","20.37M","6.00"
"Oct 23, 2017","0.19170","0.20030","0.20170","0.18500","11.65M","-4.29"
"Oct 22, 2017","0.20030","0.20990","0.21200","0.19500","11.40M","-4.57"
"Oct 21, 2017","0.20990","0.20880","0.21060","0.19670","13.91M","0.53"
