"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2017","3.780","3.800","3.830","3.740","3.92K","-0.53"
"Feb 12, 2017","3.800","3.840","3.850","3.770","1.87K","-1.04"
"Feb 11, 2017","3.840","3.830","3.880","3.820","6.10K","0.26"
"Feb 10, 2017","3.830","3.760","3.890","3.700","4.47K","1.86"
"Feb 09, 2017","3.760","3.960","3.990","3.620","22.61K","-5.05"
"Feb 08, 2017","3.960","3.980","4.060","3.910","12.37K","-0.50"
"Feb 07, 2017","3.980","3.970","4.020","3.940","15.67K","0.25"
"Feb 06, 2017","3.970","3.970","4.020","3.940","1.56K","0.00"
"Feb 05, 2017","3.970","4.020","4.030","3.910","1.42K","-1.24"
"Feb 04, 2017","4.020","4.060","4.060","3.940","2.87K","-0.99"
"Feb 03, 2017","4.060","4.090","4.120","3.910","3.79K","-0.73"
"Feb 02, 2017","4.090","4.080","4.110","3.970","4.40K","0.25"
"Feb 01, 2017","4.080","4.070","4.150","3.950","4.34K","0.25"
"Jan 31, 2017","4.070","4.030","4.190","4.030","8.63K","0.99"
"Jan 30, 2017","4.030","3.880","4.090","3.830","5.94K","3.87"
"Jan 29, 2017","3.880","3.870","3.900","3.840","0.56K","0.26"
"Jan 28, 2017","3.870","3.900","3.900","3.850","0.78K","-0.77"
"Jan 27, 2017","3.900","3.860","3.960","3.790","4.14K","1.04"
"Jan 26, 2017","3.860","3.690","3.930","3.680","3.80K","4.61"
"Jan 25, 2017","3.690","3.760","3.810","3.650","4.38K","-1.86"
"Jan 24, 2017","3.760","3.850","3.890","3.760","2.64K","-2.34"
"Jan 23, 2017","3.850","3.860","3.920","3.830","1.23K","-0.26"
"Jan 22, 2017","3.860","3.920","3.970","3.850","1.71K","-1.53"
"Jan 21, 2017","3.920","3.880","3.930","3.880","0.62K","1.03"
"Jan 20, 2017","3.880","3.880","3.950","3.860","0.89K","0.00"
"Jan 19, 2017","3.880","3.890","3.960","3.830","3.10K","-0.26"
"Jan 18, 2017","3.890","3.930","3.950","3.810","2.20K","-1.02"
"Jan 17, 2017","3.930","3.880","4.160","3.870","1.77K","1.29"
"Jan 16, 2017","3.880","3.960","3.980","3.880","0.29K","-2.02"
"Jan 15, 2017","3.960","4.000","4.100","3.950","1.49K","-1.00"
"Jan 14, 2017","4.000","3.970","4.250","3.920","1.85K","0.76"
"Jan 13, 2017","3.970","4.000","4.060","3.900","0.73K","-0.75"
"Jan 12, 2017","4.000","4.020","4.140","3.790","6.10K","-0.50"
"Jan 11, 2017","4.020","4.670","4.680","3.930","2.25K","-13.92"
"Jan 10, 2017","4.670","4.390","4.750","4.040","2.52K","6.38"
"Jan 09, 2017","4.390","4.030","4.400","3.890","2.35K","8.93"
"Jan 08, 2017","4.030","3.980","4.400","3.980","0.70K","1.26"
"Jan 07, 2017","3.980","3.880","4.490","3.660","3.19K","2.58"
"Jan 06, 2017","3.880","4.230","4.340","3.830","1.99K","-8.27"
"Jan 05, 2017","4.230","4.550","4.880","3.880","7.30K","-7.03"
"Jan 04, 2017","4.550","4.550","5.990","4.450","8.61K","0.00"
"Jan 03, 2017","4.550","4.560","4.650","4.420","1.62K","-0.22"
